product_id,date,stock_received,damaged_stock
96821,01-01-2024,27,0
96821,08-01-2024,13,1
96821,15-01-2024,7,4
96821,22-01-2024,24,3
96821,29-01-2024,9,2
96821,05-02-2024,6,3
96821,12-02-2024,1,1
96821,19-02-2024,9,0
96821,26-02-2024,29,2
96821,04-03-2024,25,4
96821,11-03-2024,7,0
96821,18-03-2024,0,3
96821,25-03-2024,5,2
96821,01-04-2024,0,4
96821,08-04-2024,13,0
96821,15-04-2024,28,1
96821,22-04-2024,18,5
96821,29-04-2024,11,5
96821,06-05-2024,28,3
96821,13-05-2024,14,2
96821,20-05-2024,30,4
96821,27-05-2024,12,4
96821,03-06-2024,12,4
96821,10-06-2024,19,3
96821,17-06-2024,26,5
96821,24-06-2024,30,1
96821,01-07-2024,23,3
96821,08-07-2024,30,3
96821,15-07-2024,12,2
96821,22-07-2024,15,5
96821,29-07-2024,29,5
96821,05-08-2024,9,3
96821,12-08-2024,23,2
96821,19-08-2024,24,2
96821,26-08-2024,11,4
96821,02-09-2024,21,1
96821,09-09-2024,27,4
96821,16-09-2024,26,1
96821,23-09-2024,8,0
96821,30-09-2024,14,1
96821,07-10-2024,24,1
96821,14-10-2024,14,0
96821,21-10-2024,9,3
96821,28-10-2024,7,3
96821,04-11-2024,23,2
96821,11-11-2024,7,5
96821,18-11-2024,17,0
96821,25-11-2024,29,5
96821,02-12-2024,2,3
96821,09-12-2024,30,1
96821,16-12-2024,16,0
96821,23-12-2024,3,5
96821,30-12-2024,17,1
96821,06-01-2025,12,2
96821,13-01-2025,28,4
96821,20-01-2025,12,2
96821,27-01-2025,30,2
96821,03-02-2025,23,5
96821,10-02-2025,10,1
96821,17-02-2025,17,2
96821,24-02-2025,15,3
96821,03-03-2025,14,3
96821,10-03-2025,10,4
96821,17-03-2025,0,5
96821,24-03-2025,16,2
96821,31-03-2025,19,3
96821,07-04-2025,4,2
96821,14-04-2025,13,2
96821,21-04-2025,21,3
96821,28-04-2025,1,5
96821,05-05-2025,1,1
96821,12-05-2025,28,4
96821,19-05-2025,0,5
96821,26-05-2025,20,2
96821,02-06-2025,8,2
96821,09-06-2025,6,1
96821,16-06-2025,5,2
96821,23-06-2025,30,5
96821,30-06-2025,4,2
96821,07-07-2025,7,2
96821,14-07-2025,10,4
96821,21-07-2025,12,5
96821,28-07-2025,29,3
96821,04-08-2025,8,3
96821,11-08-2025,30,4
96821,18-08-2025,5,0
96821,25-08-2025,0,3
96821,01-09-2025,23,1
96821,08-09-2025,23,2
96821,15-09-2025,11,5
96821,22-09-2025,26,1
96821,29-09-2025,30,0
96821,06-10-2025,28,4
96821,13-10-2025,21,4
96821,20-10-2025,22,2
96821,27-10-2025,22,0
96821,03-11-2025,19,1
96821,10-11-2025,5,5
96821,17-11-2025,19,4
96821,24-11-2025,1,3
96821,01-12-2025,3,5
96821,08-12-2025,24,1
96821,15-12-2025,22,4
96821,22-12-2025,10,4
96821,29-12-2025,1,1
710927,01-01-2024,0,3
710927,08-01-2024,26,2
710927,15-01-2024,22,3
710927,22-01-2024,25,1
710927,29-01-2024,1,5
710927,05-02-2024,9,1
710927,12-02-2024,3,0
710927,19-02-2024,14,3
710927,26-02-2024,6,2
710927,04-03-2024,0,0
710927,11-03-2024,17,2
710927,18-03-2024,4,4
710927,25-03-2024,24,5
710927,01-04-2024,26,4
710927,08-04-2024,4,2
710927,15-04-2024,5,2
710927,22-04-2024,21,3
710927,29-04-2024,22,0
710927,06-05-2024,21,5
710927,13-05-2024,4,1
710927,20-05-2024,13,3
710927,27-05-2024,20,4
710927,03-06-2024,5,1
710927,10-06-2024,3,5
710927,17-06-2024,11,3
710927,24-06-2024,30,4
710927,01-07-2024,19,4
710927,08-07-2024,17,1
710927,15-07-2024,7,5
710927,22-07-2024,22,4
710927,29-07-2024,13,4
710927,05-08-2024,12,4
710927,12-08-2024,26,4
710927,19-08-2024,7,1
710927,26-08-2024,20,1
710927,02-09-2024,20,4
710927,09-09-2024,30,1
710927,16-09-2024,27,5
710927,23-09-2024,13,4
710927,30-09-2024,12,2
710927,07-10-2024,21,5
710927,14-10-2024,21,3
710927,21-10-2024,25,4
710927,28-10-2024,0,0
710927,04-11-2024,18,1
710927,11-11-2024,25,5
710927,18-11-2024,14,4
710927,25-11-2024,3,5
710927,02-12-2024,11,3
710927,09-12-2024,16,2
710927,16-12-2024,26,2
710927,23-12-2024,0,3
710927,30-12-2024,21,2
710927,06-01-2025,25,4
710927,13-01-2025,12,3
710927,20-01-2025,16,3
710927,27-01-2025,17,2
710927,03-02-2025,7,5
710927,10-02-2025,14,5
710927,17-02-2025,4,1
710927,24-02-2025,26,3
710927,03-03-2025,21,2
710927,10-03-2025,12,1
710927,17-03-2025,3,3
710927,24-03-2025,11,1
710927,31-03-2025,29,0
710927,07-04-2025,21,3
710927,14-04-2025,16,4
710927,21-04-2025,26,4
710927,28-04-2025,26,1
710927,05-05-2025,13,2
710927,12-05-2025,27,0
710927,19-05-2025,17,1
710927,26-05-2025,3,1
710927,02-06-2025,3,2
710927,09-06-2025,27,4
710927,16-06-2025,4,3
710927,23-06-2025,14,0
710927,30-06-2025,23,5
710927,07-07-2025,1,3
710927,14-07-2025,7,5
710927,21-07-2025,24,4
710927,28-07-2025,25,2
710927,04-08-2025,24,4
710927,11-08-2025,6,5
710927,18-08-2025,6,2
710927,25-08-2025,3,3
710927,01-09-2025,27,5
710927,08-09-2025,18,3
710927,15-09-2025,13,0
710927,22-09-2025,15,2
710927,29-09-2025,11,4
710927,06-10-2025,20,4
710927,13-10-2025,11,0
710927,20-10-2025,15,3
710927,27-10-2025,23,1
710927,03-11-2025,28,1
710927,10-11-2025,4,5
710927,17-11-2025,9,5
710927,24-11-2025,23,0
710927,01-12-2025,3,4
710927,08-12-2025,20,5
710927,15-12-2025,2,1
710927,22-12-2025,8,4
710927,29-12-2025,13,1
559511,01-01-2024,12,1
559511,08-01-2024,11,5
559511,15-01-2024,22,3
559511,22-01-2024,8,1
559511,29-01-2024,30,2
559511,05-02-2024,7,0
559511,12-02-2024,29,5
559511,19-02-2024,23,3
559511,26-02-2024,8,5
559511,04-03-2024,23,2
559511,11-03-2024,3,0
559511,18-03-2024,13,1
559511,25-03-2024,16,5
559511,01-04-2024,27,3
559511,08-04-2024,23,1
559511,15-04-2024,23,3
559511,22-04-2024,1,1
559511,29-04-2024,11,2
559511,06-05-2024,15,5
559511,13-05-2024,16,1
559511,20-05-2024,26,5
559511,27-05-2024,21,0
559511,03-06-2024,2,3
559511,10-06-2024,20,1
559511,17-06-2024,17,2
559511,24-06-2024,20,1
559511,01-07-2024,4,3
559511,08-07-2024,24,5
559511,15-07-2024,0,0
559511,22-07-2024,20,3
559511,29-07-2024,8,4
559511,05-08-2024,27,0
559511,12-08-2024,6,4
559511,19-08-2024,27,2
559511,26-08-2024,22,4
559511,02-09-2024,25,5
559511,09-09-2024,11,4
559511,16-09-2024,17,0
559511,23-09-2024,10,4
559511,30-09-2024,14,1
559511,07-10-2024,26,4
559511,14-10-2024,2,2
559511,21-10-2024,6,3
559511,28-10-2024,23,0
559511,04-11-2024,30,3
559511,11-11-2024,13,0
559511,18-11-2024,30,2
559511,25-11-2024,17,0
559511,02-12-2024,5,2
559511,09-12-2024,11,4
559511,16-12-2024,5,2
559511,23-12-2024,6,3
559511,30-12-2024,17,2
559511,06-01-2025,22,0
559511,13-01-2025,16,4
559511,20-01-2025,25,1
559511,27-01-2025,18,2
559511,03-02-2025,16,3
559511,10-02-2025,22,1
559511,17-02-2025,9,3
559511,24-02-2025,26,0
559511,03-03-2025,2,5
559511,10-03-2025,23,5
559511,17-03-2025,2,0
559511,24-03-2025,5,4
559511,31-03-2025,12,2
559511,07-04-2025,9,3
559511,14-04-2025,19,2
559511,21-04-2025,2,3
559511,28-04-2025,6,5
559511,05-05-2025,6,3
559511,12-05-2025,24,2
559511,19-05-2025,29,2
559511,26-05-2025,22,4
559511,02-06-2025,23,3
559511,09-06-2025,15,2
559511,16-06-2025,6,4
559511,23-06-2025,9,1
559511,30-06-2025,4,5
559511,07-07-2025,22,2
559511,14-07-2025,11,0
559511,21-07-2025,12,5
559511,28-07-2025,21,4
559511,04-08-2025,28,5
559511,11-08-2025,24,4
559511,18-08-2025,20,3
559511,25-08-2025,21,1
559511,01-09-2025,6,3
559511,08-09-2025,7,4
559511,15-09-2025,26,3
559511,22-09-2025,17,2
559511,29-09-2025,30,4
559511,06-10-2025,18,1
559511,13-10-2025,15,2
559511,20-10-2025,26,5
559511,27-10-2025,21,0
559511,03-11-2025,16,5
559511,10-11-2025,23,4
559511,17-11-2025,27,5
559511,24-11-2025,29,3
559511,01-12-2025,15,5
559511,08-12-2025,15,1
559511,15-12-2025,22,3
559511,22-12-2025,22,5
559511,29-12-2025,8,4
240919,01-01-2024,11,1
240919,08-01-2024,19,1
240919,15-01-2024,3,1
240919,22-01-2024,24,1
240919,29-01-2024,10,3
240919,05-02-2024,5,3
240919,12-02-2024,14,4
240919,19-02-2024,4,0
240919,26-02-2024,4,2
240919,04-03-2024,8,4
240919,11-03-2024,16,3
240919,18-03-2024,26,5
240919,25-03-2024,27,1
240919,01-04-2024,14,3
240919,08-04-2024,13,3
240919,15-04-2024,18,2
240919,22-04-2024,9,4
240919,29-04-2024,29,3
240919,06-05-2024,7,1
240919,13-05-2024,6,5
240919,20-05-2024,15,2
240919,27-05-2024,4,5
240919,03-06-2024,15,5
240919,10-06-2024,1,3
240919,17-06-2024,22,1
240919,24-06-2024,4,0
240919,01-07-2024,28,4
240919,08-07-2024,15,2
240919,15-07-2024,24,3
240919,22-07-2024,8,0
240919,29-07-2024,2,1
240919,05-08-2024,27,5
240919,12-08-2024,16,4
240919,19-08-2024,13,3
240919,26-08-2024,15,2
240919,02-09-2024,6,4
240919,09-09-2024,17,3
240919,16-09-2024,16,0
240919,23-09-2024,20,3
240919,30-09-2024,25,3
240919,07-10-2024,2,1
240919,14-10-2024,16,5
240919,21-10-2024,12,4
240919,28-10-2024,19,0
240919,04-11-2024,12,1
240919,11-11-2024,21,4
240919,18-11-2024,23,2
240919,25-11-2024,7,4
240919,02-12-2024,13,5
240919,09-12-2024,2,3
240919,16-12-2024,12,2
240919,23-12-2024,16,1
240919,30-12-2024,29,1
240919,06-01-2025,9,2
240919,13-01-2025,10,2
240919,20-01-2025,21,4
240919,27-01-2025,0,3
240919,03-02-2025,30,1
240919,10-02-2025,4,4
240919,17-02-2025,21,4
240919,24-02-2025,1,5
240919,03-03-2025,15,0
240919,10-03-2025,4,4
240919,17-03-2025,6,4
240919,24-03-2025,4,4
240919,31-03-2025,20,4
240919,07-04-2025,15,3
240919,14-04-2025,29,4
240919,21-04-2025,9,4
240919,28-04-2025,0,2
240919,05-05-2025,0,2
240919,12-05-2025,27,2
240919,19-05-2025,8,3
240919,26-05-2025,18,4
240919,02-06-2025,20,0
240919,09-06-2025,23,5
240919,16-06-2025,26,2
240919,23-06-2025,10,5
240919,30-06-2025,6,2
240919,07-07-2025,0,3
240919,14-07-2025,7,3
240919,21-07-2025,29,1
240919,28-07-2025,10,3
240919,04-08-2025,29,2
240919,11-08-2025,7,3
240919,18-08-2025,23,4
240919,25-08-2025,5,2
240919,01-09-2025,14,4
240919,08-09-2025,25,5
240919,15-09-2025,14,0
240919,22-09-2025,5,3
240919,29-09-2025,30,5
240919,06-10-2025,12,1
240919,13-10-2025,10,1
240919,20-10-2025,8,1
240919,27-10-2025,22,2
240919,03-11-2025,16,3
240919,10-11-2025,30,2
240919,17-11-2025,8,1
240919,24-11-2025,19,4
240919,01-12-2025,23,5
240919,08-12-2025,25,2
240919,15-12-2025,6,1
240919,22-12-2025,20,0
240919,29-12-2025,4,5
866922,01-01-2024,30,0
866922,08-01-2024,2,2
866922,15-01-2024,7,3
